,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
27,Ange-Yoan Bonny,fr FRA,FW,Inter,22-137,2003,23,8,760,8.4,5,3,8,5,0,0,0,0,0.59,0.36,0.95,0.59,0.95,Matches
28,Ruslan Malinovskyi,ua UKR,MF,Genoa,32-311,1993,26,23,"1,804",20,5,3,8,2,3,3,9,0,0.25,0.15,0.4,0.1,0.25,Matches
29,Weston McKennie,us USA,MF,Juventus,27-195,1998,27,23,"2,030",22.6,4,4,8,4,0,0,4,0,0.18,0.18,0.35,0.18,0.35,Matches
30,Christopher Nkunku,fr FRA,FW,Milan,28-117,1997,22,11,972,10.8,5,3,8,2,3,3,0,0,0.46,0.28,0.74,0.19,0.46,Matches
31,Riccardo Orsolini,it ITA,"MF,FW",Bologna,29-046,1997,26,20,"1,534",17,7,1,8,4,3,4,2,0,0.41,0.06,0.47,0.23,0.29,Matches
32,Mateo Pellegrino,ar ARG,FW,Parma,25-010,2001,28,26,"2,295",25.5,7,1,8,6,1,1,4,0,0.27,0.04,0.31,0.24,0.27,Matches
33,Adrien Rabiot,fr FRA,MF,Milan,30-342,1995,20,19,"1,740",19.3,4,4,8,4,0,0,6,1,0.21,0.21,0.41,0.21,0.41,Matches
34,Jesus Rodríguez,es ESP,MF,Como,20-110,2005,24,15,"1,493",16.6,1,7,8,1,0,0,2,1,0.06,0.42,0.48,0.06,0.48,Matches
35,Federico Bonazzoli,it ITA,FW,Cremonese,28-294,1997,25,21,"1,671",18.6,6,1,7,5,1,1,3,0,0.32,0.05,0.38,0.27,0.32,Matches
36,Nicolò Cambiaghi,it ITA,"MF,FW",Bologna,25-073,2000,22,14,"1,241",13.8,3,4,7,3,0,0,3,1,0.22,0.29,0.51,0.22,0.51,Matches
37,Lorenzo Colombo,it ITA,FW,Genoa,24-003,2002,28,21,"1,673",18.6,6,1,7,6,0,1,1,0,0.32,0.05,0.38,0.32,0.38,Matches
38,Francesco Esposito,it ITA,FW,Inter,20-256,2005,26,9,"1,055",11.7,4,3,7,4,0,0,1,0,0.34,0.26,0.6,0.34,0.6,Matches
39,Giovane,br BRA,"FW,MF",Hellas Verona,22-107,2003,21,19,"1,533",17,3,4,7,3,0,0,2,0,0.18,0.23,0.41,0.18,0.41,Matches
40,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,28-269,1997,24,20,"1,702",18.9,4,3,7,1,3,3,3,0,0.21,0.16,0.37,0.05,0.21,Matches
41,Rolando Mandragora,it ITA,MF,Fiorentina,28-255,1997,27,24,"1,913",21.3,6,1,7,5,1,1,6,0,0.28,0.05,0.33,0.24,0.28,Matches
42,Che Adams,sct SCO,FW,Torino,29-241,1996,25,15,"1,479",16.4,4,2,6,4,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches
43,Lameck Banda,zm ZAM,"MF,FW",Lecce,25-041,2001,22,12,"1,058",11.8,3,3,6,3,0,0,6,1,0.26,0.26,0.51,0.26,0.51,Matches
44,Nicolò Barella,it ITA,MF,Inter,29-032,1997,25,22,"1,829",20.3,1,5,6,1,0,0,5,0,0.05,0.25,0.3,0.05,0.3,Matches
45,Gleison Bremer,br BRA,DF,Juventus,28-358,1997,17,16,"1,361",15.1,3,3,6,3,0,0,2,0,0.2,0.2,0.4,0.2,0.4,Matches
46,Andrea Cambiaso,it ITA,"MF,DF",Juventus,26-019,2000,26,25,"2,024",22.5,3,3,6,3,0,0,1,1,0.13,0.13,0.27,0.13,0.27,Matches
47,Maxence Caqueret,fr FRA,MF,Como,26-024,2000,22,13,"1,114",12.4,2,4,6,2,0,0,1,0,0.16,0.32,0.48,0.16,0.48,Matches
48,Danilo Cataldi,it ITA,MF,Lazio,31-217,1994,25,22,"1,835",20.4,3,3,6,1,2,2,5,0,0.15,0.15,0.29,0.05,0.2,Matches
49,Lucas Da Cunha,fr FRA,MF,Como,24-275,2001,26,22,"1,944",21.6,3,3,6,1,2,2,4,0,0.14,0.14,0.28,0.05,0.19,Matches
50,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,25-001,2001,21,18,"1,540",17.1,3,3,6,3,0,0,2,0,0.18,0.18,0.35,0.18,0.35,Matches
51,Donyell Malen,nl NED,FW,Roma,27-061,1999,8,8,657,7.3,6,0,6,5,1,1,1,0,0.82,0,0.82,0.68,0.68,Matches
52,Stefano Moreo,it ITA,"FW,MF",Pisa,32-254,1993,27,19,"1,571",17.5,5,1,6,4,1,1,2,0,0.29,0.06,0.34,0.23,0.29,Matches
53,David Neres,br BRA,"FW,MF",Napoli,29-008,1997,16,10,922,10.2,3,3,6,3,0,0,3,0,0.29,0.29,0.59,0.29,0.59,Matches
54,Jens Odgaard,dk DEN,MF,Bologna,26-345,1999,21,14,"1,158",12.9,5,1,6,5,0,0,1,0,0.39,0.08,0.47,0.39,0.47,Matches
55,Mario Pašali?,hr CRO,MF,Atalanta,31-030,1995,23,18,"1,509",16.8,3,3,6,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,Matches
56,Máximo Perrone,ar ARG,MF,Como,23-063,2003,26,25,"2,029",22.5,2,4,6,2,0,0,7,0,0.09,0.18,0.27,0.09,0.27,Matches
57,Giovanni Simeone,ar ARG,FW,Torino,30-249,1995,22,17,"1,412",15.7,6,0,6,6,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches
58,Leonardo Spinazzola,it ITA,"MF,DF",Napoli,32-351,1993,24,17,"1,495",16.6,3,3,6,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,Matches
59,Kristian Thorstvedt,no NOR,MF,Sassuolo,26-363,1999,23,18,"1,650",18.3,3,3,6,3,0,0,6,0,0.16,0.16,0.33,0.16,0.33,Matches
60,Jamie Vardy,eng ENG,FW,Cremonese,39-059,1987,24,21,"1,803",20,5,1,6,5,0,0,4,0,0.25,0.05,0.3,0.25,0.3,Matches
61,Nicola Zalewski,pl POL,MF,Atalanta,24-047,2002,24,17,"1,332",14.8,2,4,6,2,0,0,3,0,0.14,0.27,0.41,0.14,0.41,Matches
